Discipline,Country,Event,Medal Type,Country-Year
Swimming,Japan,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,New Zealand,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,People's Republic of China,Women's 4 x 200m Freestyle Relay,GOLD,tokyo-2020
Swimming,Australia,Women's 4 x 200m Freestyle Relay,,paris-2024
Athletics,Belgium,Women's 4 x 400m Relay,,paris-2024
Athletics,United States of America,Women's 4 x 400m Relay,GOLD,tokyo-2020
Athletics,Canada,Women's 4 x 400m Relay,,paris-2024
Athletics,United States,Women's 4 x 400m Relay,,paris-2024
Athletics,Bahamas,Women's 4 x 400m Relay,,paris-2024
Athletics,Belarus,Women's 4 x 400m Relay,,paris-2024
Athletics,Poland,Women's 4 x 400m Relay,SILVER,tokyo-2020
Athletics,Ukraine,Women's 4 x 400m Relay,,paris-2024
Athletics,France,Women's 4 x 400m Relay,,paris-2024
Athletics,Germany,Women's 4 x 400m Relay,,paris-2024
Athletics,Great Britain,Women's 4 x 400m Relay,,paris-2024
Athletics,Switzerland,Women's 4 x 400m Relay,,paris-2024
Athletics,Italy,Women's 4 x 400m Relay,,paris-2024
Athletics,Jamaica,Women's 4 x 400m Relay,,paris-2024
Athletics,Jamaica,Women's 4 x 400m Relay,BRONZE,tokyo-2020
Athletics,Netherlands,Women's 4 x 400m Relay,,paris-2024
Athletics,Poland,Women's 4 x 400m Relay,,paris-2024
Athletics,Cuba,Women's 4 x 400m Relay,,paris-2024
Athletics,Australia,Women's 4 x 400m Relay,,paris-2024
